昵称;评价;评价日期;评论内容;赞同数
邱小明;推荐;2021-12-09;索尼还犹豫什么啊！《超凡3》搞起啦！！！！;4766
想吃肉;较差;2021-12-17;到底需要多少个工具人才可以让这个蜘蛛侠明白一点其他蜘蛛侠第一部头一个小时就明白的道理。以及时光在所有人身上驻足了唯独光速从荷兰弟身上划过到底是什么原理;3621
失人絮語;还行;2021-12-15;说实话 不大好看，又一个蜘蛛侠愚善害人的故事。;8092
更高;力荐;2021-12-15;这一次，他抓住了她!;5445
急冻威露士;还行;2021-12-19;3代人设真不愧是我最讨厌的一代，非常经典的傻逼圣母白屌剧情，又当又立，嘴上说着生命可贵，转身就把无辜人往火坑里推，做错事不自知，一堆人跟在背后给他擦屁股，擦完旁人都没抱怨什么了，倒是始作俑者自我高潮，可把自己感动坏了。3代就是最差劲的一代，开口闭口不是save you就是fix you，这么爱当别人的野爹给抚养费了吗？幸亏怼脸镜头少，否则全程都要强忍tom holland用同一个表情划水划完148分钟，拨了那么多人倒贴3代才没那么难看。;6908
MShelter;还行;2021-12-18;年纪大了，看中二少年在犯蠢并送掉亲人中认识自我只觉得猪逼和无聊，除了卖情怀也不剩啥了;6048
一颗豌豆米米;推荐;2021-12-16;这次他接住她了，谁懂我！！！“三代同堂”泪目了;3733
ゝ卑微的、承諾;力荐;2021-12-15;看到托比和加菲激动的说不出话来！全场都在鼓掌呐喊，exciting！;3196
ଲଇଉକ;较差;2021-12-21;看得我鬼火直冒，除了再次在荧幕上看到初代和超凡的情怀以外我找不到任何一个值得点亮星星的点。与其说是三部曲终章不如说是给了MCU虫一个迟来的起源，然而糟糕的剧本让人根本无法共情主角的心理，因为对方女朋友和死党没法进MIT就同意给全世界洗脑的奇异博士也很莫名其妙。同样是失去重要的人，同样是能力越大责任越大，初代和超凡让人惋惜让人心痛，MCU虫却只让我觉得活该，毕竟如果不是你非要作，你的Aunt May现在还好好地活着。;2760
傻瓜貝葉斯;推荐;2021-12-17;加菲救起MJ的时候我真的有起鸡皮疙瘩;1915
L U K E;还行;2021-12-15;好奇荷兰弟之后拍什么  反正007是大可不必了   你不是那块料 darling;2733
il_perso_nome;较差;2021-12-21;讲真，自以为是的低智少年是无法拯救世界的;1611
同志亦凡人中文站;推荐;2021-12-16;依然是天煞孤星，依然是能力越大责任越大，少年蜘蛛侠终于长成大人，然而进入成年世界的第一件事便是放手——这个故事还蛮感慨的，哎说多了都是泪。感谢漫威缝合蜘蛛侠多元宇宙的尝试，让我终于看到老中青三代彼得·帕克齐聚首。这次他接住了...;1448
zykmilan;还行;2021-12-15;这三部蜘蛛侠的剧本真的是一部比一部烂，电影前半段我真的要骂娘了（除了某惊喜现身时刻…），太儿戏了。后半段纯靠情怀拉回一些分数，赚了我一些感慨+几滴眼泪。不过整体上仍然是食之无味、弃之可惜。结尾两个彩蛋，第一个联结《毒液2》结尾彩蛋，后一个直接放了《奇异博士2》的预告片，很期待但是漫威也真的是越来越偷懒了。;2411
周生辰;较差;2021-12-22;🙄实在是难看至极，就连加菲接住MJ那里三秒钟的演技都比May死了之后蜘蛛侠的哭脸到位……;1096
hunter;还行;2021-12-23;法师那句吐槽 所以我不想要孩子简直就是我看这部电影的心声 小蜘蛛这也太作了吧 虽然电影想讲成长？但…还是不能共情这种圣母作死大法;2519
e|理智型神经病;推荐;2021-12-15;有IP就是可以为所欲为搞纯粉丝向电影，CP大乱炖（他们给的实在是太多啦....;1346
夏小時;推荐;2021-12-15;三虫大战很酷，虫系电影情怀分拉满，加上DD回归接砖悍联厨狂喜，但荷兰虫恕我完全不行。MCU大概终于发现荷兰虫作为铁人儿子定位的问题，遂把一切推翻重头来了个起源，该死的人死一死，该讲的台词讲一讲，完成新的英雄定位。但编剧所塑造荷兰虫的善良实在是天真到愚蠢，观影全程都想暴打他，即使最后搬进破公寓公式化地完成超英蜕变史，也实在无法让我觉得荷兰虫就是那个虫。电影还是好电影，托比虫和加菲虫巨迷人，视效牛逼，大荧幕观影的确有肾上腺素加持，然而剧本观感太割裂了，三星对不起视效和双虫，五星又属实打不下去。;1258
LOU;还行;2022-01-22;给的都是情怀分，圣母心发作非要跟奇异博士对着干那段看得我真想扇他一巴掌;1183
