影片名;导演;主演;影片类型;评分;评分人数;短评数
长津湖;陈凯歌,徐克,林超贤;吴京,易烊千玺,段奕宏,朱亚文,李晨,韩东君,胡军,张涵予,黄轩,欧豪,史彭元,李岷城,唐国强,杨一威,周小斌,林永健,王宁,刘劲,卢奇,王伍福,耿乐,曹阳,李军,王同辉,艾米,石昊正,许明虎;剧情,历史,战争;7.4;657929;243076
兰心大剧院;娄烨;巩俐,赵又廷,小田切让,帕斯卡尔·格雷戈里,汤姆·拉斯齐哈,黄湘丽,中岛步,王传君,张颂文;剧情;7.2;115040;47910
鱿鱼游戏 오징어 게임;黄东赫;李政宰,朴海秀,魏嘏隽,孔刘,李秉宪,吴永洙,郑浩妍,许成泰,金周灵,李瑜美,阿努帕姆·特里帕蒂,金英玉,金范来,李书焕,金英善,朴惠珍,姜末琴,杰弗里·朱利亚诺,约翰 D.迈克斯,丹尼尔·C·肯尼迪;悬疑,惊悚;7.6;438946;149765
我和我的父辈;吴京,章子怡,徐峥,沈腾;吴京,章子怡,徐峥,沈腾,吴磊,黄轩,袁近辉,任思诺,韩昊霖,宋佳,马丽,洪烈,张天爱,李光洁,海清,陈道明,彭昱畅,欧豪,贾冰,辣目洋子,艾伦,常远,余皑磊,魏晨,陶虹,倪虹洁,张雨绮,焦圣祥,樊雨洁,张建亚,张芝华,张国强,宁理,胡可,沙溢,马书良,曹可凡,万茜,祖峰,张艺谋,李雪健,张小斐,杜江,李乃文,耿乐,吴昊宸,白那日苏,江水,逯长恩,张恒瑞,阿楠,吴昱翰,周庆昀,王成思,宋阳,李海银,龚毅星;剧情;6.5;223632;90285
摩加迪沙 모가디슈;柳昇完;金允石,赵寅成,许峻豪,具教焕,金素真,郑满植,金在华,朴庆惠,尹敬浩;剧情,动作;8.1;79420;24304
脱口秀大会 第四季;谭晓虹;李诞,大张伟,罗永浩,杨澜,宁静,杨千嬅,杨魏玲花,曾毅,黄西,王建国,呼兰,王勉,杨笠,杨蒙恩,庞博,程璐,周奇墨,徐志胜,何广智,孟川,张骏,鸟鸟,张踩铃,星悦,朱一旦,颜怡,颜悦,胡豆豆,赵晓卉,邱瑞,航哥,菠萝,徐峥,谢娜,郭京飞,张若昀,陈学冬;喜剧,脱口秀;7.6;52812;20056
沙丘 Dune;丹尼斯·维伦纽瓦;蒂莫西·柴勒梅德,丽贝卡·弗格森,奥斯卡·伊萨克,戴夫·巴蒂斯塔,赞达亚,杰森·莫玛,乔什·布洛林,哈维尔·巴登,斯特兰·斯卡斯加德,夏洛特·兰普林,大卫·达斯马齐连,莎伦·邓肯-布鲁斯特,斯蒂芬·亨德森,迈克尔·纳尔多内,张震,巴布斯·奥卢桑莫昆,奥利弗·瑞安,查理·罗尔斯,格洛里亚·奥比安约,保罗·布林,比约恩·弗赖贝格;剧情,科幻,冒险;7.7;503307;197397
失控玩家 Free Guy;肖恩·利维;瑞安·雷诺兹,朱迪·科默,乔·基瑞,里尔·莱尔·哈瓦瑞,塔伊加·维迪提,乌特卡什·安邦德卡尔,查宁·塔图姆,休·杰克曼,道恩·强森,克里斯·埃文斯,约翰·卡拉辛斯基,蒂娜·菲,卡米尔·科斯塔克,布丽特妮·欧德福特,肯尼斯·以色列,亚历克斯·崔贝克,劳拉·斯宾塞,马修·卡德罗普,迈克尔·陶,野村祐人,Raj Jawa,何塞·冈斯·阿尔维斯,欧文·伯克,加布里埃尔·洛莱斯,雷吉纳·托芬,珍妮尔·费格利,泰特·弗莱彻,香农·哈特曼,金伯利·豪威,Mark Lainer,Mike Devine,亚伦·W·里德,Sophie Levy,Vernon Scott,Naheem Garcia;喜剧,动作,科幻;7.5;574856;201941
肖申克的救赎 The Shawshank Redemption;弗兰克·德拉邦特;蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,威廉姆·赛德勒,克兰西·布朗,吉尔·贝罗斯,马克·罗斯顿,詹姆斯·惠特摩,杰弗里·德曼,拉里·布兰登伯格,尼尔·吉恩托利,布赖恩·利比,大卫·普罗瓦尔,约瑟夫·劳格诺,祖德·塞克利拉,保罗·麦克兰尼,芮妮·布莱恩,阿方索·弗里曼,V·J·福斯特,弗兰克·梅德拉诺,马克·迈尔斯,尼尔·萨默斯,耐德·巴拉米,布赖恩·戴拉特,唐·麦克马纳斯;剧情,犯罪;9.7;2587797;510257
俗女养成记2 俗女養成記2;陈长纶,严艺文;谢盈萱,吴以涵,天心,夏靖庭,杨丽音,陈竹昇,于子育,蓝苇华,陈家逵,杨铭威,宋伟恩,李国毅,朱宥丞,阙铭佑,温升豪,朱芷莹,施名帅,金美满,林芷薰,赵自强,杨宸宥,王宥谦;剧情,喜剧;9.3;70637;26640
